Food Name,"Energy, with dietary fibre",Moisture (water),Protein,Total Fat,Ash,Calcium (Ca),Iodine (I),Iron (Fe),Magnesium (Mg),Phosphorus (P),Potassium (K),Selenium (Se),Sodium (Na),Zinc (Zn),Retinol (preformed vitamin A),Beta-carotene,Vitamin A retinol equivalents,Thiamin (B1),Riboflavin (B2),Niacin (B3),Niacin derived from tryptophan,Niacin derived equivalents,Pyridoxine (B6),Cobalamin (B12),Total folates,Vitamin C,Cholecalciferol (D3),25-hydroxy cholecalciferol (25-OH D3,Vitamin D3 equivalents,Vitamin E,Total saturated fatty acids,,,,,,,,Total long chain omega 3 fatty acids,,Cholesterol,
0,2478,25.4,12.1,61.4,0.8,6,2.2,1.3,9,87,160,0,25,0.94,40,13,42,0,0.05,2,1.67,3.66,0.3,2.9,10,0,1,0,1,0.7,25.68,0,0,20.77,0,0,0,1.4,20.773,3021.09,60,98
0,2317,27.7,15.3,55.6,1,8,2.6,0.96,11,100,160,0,29,1.3,20,13,22,0,0.08,1.4,2.11,3.51,0.4,2.1,12,0,0.6,0,0.6,1.3,21.58,0,0,0,0,36.56,0,1.22,36.561,2907.92,65,124
0,394,76,21.9,0.6,1.4,9,1.2,1.9,24,190,370,8.2,69,4.9,0,8,1,0.03,0.07,4.85,0.14,4.99,0.12,1.4,0,0,0.3,0.7,3.8,0,0.2,4.4,16.49,8.52,1.1,9.89,1.37,0.09,19.786,20.24,57,8
0,682,62.8,33.8,2.8,1.3,14,1.7,2.2,25,200,320,12,60,7.5,0,2,0,0.05,0.08,4.2,0.36,4.56,0.07,2,0,0,0.2,0.1,0.7,0,1.04,12.82,46.17,21.8,2.56,26.93,3.85,0.28,52.578,61.84,91,21
0,457,74.5,21.6,2.4,1.4,9,1.2,1.88,24,187,364,8,68,4.78,1,8,3,0.029,0.069,4.76,0.19,4.95,0.12,1.4,0,0,0.3,0.7,3.72,0.02,0.97,4.26,15.99,8.89,1.07,9.6,1.33,0.13,19.816,110.26,57,11
0,764,61,32.9,5.4,1.3,14,1.7,2.14,24,195,312,11.4,58,7.19,1,3,1,0.048,0.08,4.06,0.44,4.51,0.09,2,1,0,0.2,0.1,0.7,0.06,2.07,12.18,43.86,20.71,2.44,27.41,3.66,0.33,51.777,204.14,90,26
0,960,56.8,30.7,11.8,1.2,13,1.8,1.99,23,183,293,10,55,6.45,3,4,4,0.042,0.08,3.72,0.66,4.38,0.13,2,2,0,0.3,0.1,0.68,0.22,4.54,10.64,38.32,18.1,2.13,28.57,3.19,0.44,49.855,545.67,87,39
0,519,73,21.3,4.2,1.4,9,1.3,1.86,23,184,357,7.7,66,4.66,2,8,4,0.028,0.069,4.68,0.24,4.91,0.13,1.5,1,0,0.3,0.7,3.63,0.04,1.73,4.13,15.5,9.25,1.03,9.3,1.29,0.17,19.845,200.29,57,14
0,555,71.7,27.6,2.4,1.2,4,1.2,1.7,24,240,340,19,38,5.7,0,10,2,0.03,0.11,3,3.79,6.79,0.2,1.1,21,1,0.3,0.7,3.8,0.5,0.84,15.91,61.22,24.15,5.64,38.62,5.02,0.32,67.786,81.02,54,223
0,648,65.8,31.5,3,1.3,4,1.7,2.8,23,260,360,7.5,47,7.2,0,12,2,0.03,0.08,3,4.34,7.34,0.07,1.3,25,0,0.2,0.1,0.7,0.7,0.98,17.29,68.08,32.3,7.63,48.95,7.32,0.37,88.564,84.9,77,255
0,745,62,37,3.1,1.6,5,0.8,2.28,21,210,251,25.5,28,7.66,0,10,2,0.019,0.126,2.22,5.1,7.31,0.1,0.9,18,1,0.4,0.8,4.59,0.54,1.12,21.28,81.9,32.31,7.55,51.67,6.71,0.43,90.689,108.4,73,300
0,587,71,27.3,3.3,1.2,5,1.2,1.69,24,237,337,18.7,38,5.62,1,10,2,0.03,0.109,2.98,3.76,6.74,0.21,1.2,21,1,0.3,0.7,3.76,0.5,1.24,15.64,60.18,24.08,5.54,37.96,4.93,0.34,66.972,129.04,54,221
0,667,65.3,31.3,3.7,1.3,4,1.7,2.78,23,258,358,7.4,47,7.13,0,12,2,0.03,0.08,2.98,4.32,7.29,0.07,1.3,25,0,0.2,0.1,0.7,0.71,1.21,17.1,67.32,31.93,7.54,48.81,7.24,0.38,87.984,117.24,77,254
0,763,61.6,36.7,3.7,1.6,5,0.8,2.27,21,208,250,25.2,28,7.58,0,10,2,0.019,0.125,2.21,5.07,7.27,0.1,0.9,18,1,0.4,0.8,4.55,0.55,1.36,21.03,80.93,31.93,7.46,51.47,6.63,0.44,90.031,140.41,72,298
0,474,72.8,22.2,2.6,1.2,4,1.2,1.9,24,200,340,12,56,4.6,0,10,2,0.06,0.2,3,3.06,6.06,0.12,0.9,21,1,0.3,0.7,3.8,0.5,0.92,16.6,59.59,37.08,3.26,46.49,7.29,0.36,90.859,87.69,45,180
0,650,65,31.9,2.9,1.3,6,1.7,2.6,30,260,400,13,48,6,0,12,2,0.03,0,1,4.39,5.39,0.09,1.1,25,0,0.2,0.1,0.7,0.7,0.97,17.9,69.57,12.4,13.1,39.13,6.24,0.35,57.777,64.05,81,258
0,653,62.5,30.6,3.6,1.7,5,0.8,2.62,22,179,258,16.6,42,6.34,0,10,2,0.037,0.234,2.28,4.22,6.49,0.06,0.7,19,1,0.4,0.9,4.72,0.55,1.28,22.9,82.19,51.15,4.5,64.12,10.05,0.5,125.323,120.95,62,248
0,598,69.9,21.6,6.2,1.2,5,1.3,1.86,23,193,329,11.3,54,4.37,2,10,4,0.056,0.191,2.94,2.98,5.91,0.13,1,20,1,0.3,0.7,3.63,0.51,2.46,15.57,55.89,36.07,3.06,43.61,6.84,0.42,86.514,269.56,46,175
0,740,63,31,5.8,1.3,6,1.7,2.51,29,251,387,12.3,47,5.74,1,12,3,0.028,0.004,1.02,4.27,5.29,0.11,1.2,24,0,0.2,0.1,0.7,0.73,2.09,16.93,65.79,11.73,12.38,38.99,5.9,0.39,56.623,218.75,80,251
0,744,60.6,29.8,6.4,1.6,5,0.9,2.53,21,175,253,15.7,42,6.07,1,10,3,0.035,0.226,2.23,4.1,6.33,0.08,0.8,18,1,0.4,0.8,4.49,0.6,2.38,21.65,77.72,48.37,4.26,62.62,9.5,0.54,120.494,272.56,62,241
0,707,67.3,21,9.5,1.2,5,1.3,1.83,22,187,319,10.6,52,4.17,5,10,6,0.053,0.182,2.88,2.89,5.77,0.14,1.1,20,1,0.4,0.6,3.47,0.52,3.81,14.66,52.63,35.18,2.88,41.06,6.44,0.48,82.68,430.02,47,170
0,791,61.8,30.5,7.4,1.3,6,1.8,2.46,28,246,380,11.9,46,5.6,2,12,4,0.027,0.007,1.03,4.2,5.23,0.12,1.2,24,0,0.2,0.1,0.69,0.75,2.72,16.38,63.66,11.35,11.98,38.91,5.71,0.42,55.976,305.49,80,247
0,795,59.5,29.3,8,1.6,5,1,2.48,21,173,250,15.1,41,5.92,2,11,3,0.034,0.221,2.2,4.03,6.24,0.09,0.9,18,1,0.4,0.8,4.37,0.62,3,20.95,75.21,46.81,4.12,61.78,9.2,0.56,117.787,357.57,62,237
0,495,73.4,22.6,3,1.2,4,1.2,1.85,23,195,350,16,59,5.6,0,10,2,0.06,0.2,3,3.11,6.11,0.1,1.3,21,1,0.3,0.7,3.8,0.5,1.07,19.15,68.76,42.79,3.76,53.64,8.41,0.41,104.837,101.18,56,183
0,803,60.1,31.8,7.1,1.5,5,1.3,2.91,23,215,279,15.8,48,5.82,0,11,2,0.039,0.117,1.64,4.39,6.02,0.06,1.5,22,1,0.3,0.5,2.71,0.63,2.41,44.17,168.24,48.25,26.18,103.57,16.44,0.88,168.254,177.53,58,258
0,646,69.8,21.8,7.4,1.2,4,1.3,1.81,22,187,335,14.7,56,5.23,3,10,5,0.056,0.189,2.92,2.99,5.92,0.12,1.4,20,1,0.4,0.6,3.59,0.52,2.94,17.66,63.4,41.03,3.47,49.46,7.75,0.49,98.252,322.91,56,176
