Protein,Nitrogen,Beta-carotene,Beta-carotene equivalents (provitamin A),"Folate, natural",Total folates,Dietary folate equivalents,Alpha tocopherol,Vitamin E,C14,C15,C16,C17,C18,Total saturated fatty acids,,,,,,,,
12.1,1.94,13,13,10,10,10,0.7,0.7,2.67,0.38,14.69,0.72,7.22,25.68,0.96,2.61,24.29,28.42,0.96,0.31,112.25,0
15.3,2.45,13,13,12,12,12,1.3,1.3,2.23,0.34,12.4,0.61,6,21.58,0.98,2.74,23.16,27.28,0.71,0.36,111.63,0
21.9,3.5,8,8,0,0,0,0,0,0.01,0,0.12,0,0.07,0.2,0,0.02,0.2,0.23,0.04,0,8.79,0
33.8,5.41,2,2,0,0,0,0,0,0.07,0.01,0.58,0.03,0.34,1.04,0.02,0.1,0.98,1.11,0.14,0,30.78,0
21.6,3.46,8,8,0,0,0,0,0.02,0.09,0.01,0.55,0.03,0.28,0.97,0.03,0.1,0.92,1.08,0.07,0.01,11.9,0
32.9,5.26,3,3,1,1,1,0.1,0.06,0.18,0.03,1.18,0.06,0.62,2.07,0.07,0.23,2.09,2.42,0.17,0.02,34.82,0
30.7,4.9,4,4,2,2,2,0.2,0.22,0.44,0.07,2.59,0.13,1.3,4.54,0.18,0.55,4.75,5.56,0.24,0.06,44.52,0
21.3,3.41,8,8,1,1,1,0,0.04,0.17,0.02,0.99,0.05,0.5,1.73,0.06,0.18,1.65,1.92,0.09,0.02,15,0
27.6,4.41,10,10,21,21,21,0.5,0.5,0.06,0.01,0.47,0.02,0.27,0.84,0.01,0.06,0.79,0.91,0.13,0.03,6.57,4.48
31.5,5.04,12,12,25,25,25,0.7,0.7,0.07,0.01,0.55,0.03,0.31,0.98,0.02,0.11,1.16,1.36,0.15,0.03,9.11,5.22
37,5.92,10,10,18,18,18,0.5,0.54,0.08,0.01,0.63,0.03,0.36,1.12,0.02,0.08,1.05,1.22,0.18,0.04,8.78,5.99
27.3,4.37,10,10,21,21,21,0.5,0.5,0.1,0.02,0.7,0.03,0.39,1.24,0.03,0.1,1.17,1.36,0.14,0.04,8.29,4.4
31.3,5.01,12,12,25,25,25,0.7,0.71,0.1,0.02,0.69,0.03,0.38,1.21,0.03,0.14,1.42,1.66,0.15,0.04,10.28,5.16
36.7,5.88,10,10,18,18,18,0.5,0.55,0.11,0.02,0.76,0.04,0.43,1.36,0.03,0.12,1.3,1.52,0.18,0.04,9.96,5.92
22.2,3.55,10,10,21,21,21,0.5,0.5,0.1,0.01,0.51,0.02,0.28,0.92,0.02,0.08,0.85,1.01,0.13,0.04,7.53,4.86
31.9,5.1,12,12,25,25,25,0.7,0.7,0.06,0.01,0.52,0.03,0.34,0.97,0.01,0.08,1.13,1.28,0.16,0.01,8.9,6
30.6,4.9,10,10,19,19,19,0.6,0.55,0.14,0.02,0.71,0.03,0.38,1.28,0.03,0.11,1.18,1.39,0.18,0.06,10.38,6.7
21.6,3.45,10,10,20,20,20,0.5,0.51,0.26,0.04,1.39,0.06,0.71,2.46,0.08,0.24,2.31,2.71,0.18,0.06,14.02,4.56
31,4.96,12,12,24,24,24,0.7,0.73,0.18,0.03,1.16,0.06,0.65,2.09,0.06,0.22,2.33,2.69,0.19,0.03,14.49,5.68
29.8,4.77,10,10,18,18,18,0.6,0.6,0.25,0.03,1.34,0.06,0.69,2.38,0.08,0.26,2.37,2.8,0.21,0.08,15.89,6.34
21,3.36,10,10,20,20,20,0.5,0.52,0.4,0.06,2.17,0.1,1.09,3.81,0.13,0.38,3.59,4.21,0.23,0.08,19.75,4.29
30.5,4.88,12,12,24,24,24,0.8,0.75,0.25,0.04,1.53,0.08,0.82,2.72,0.09,0.31,3,3.48,0.21,0.04,17.62,5.49
29.3,4.69,11,11,18,18,18,0.6,0.62,0.32,0.04,1.7,0.08,0.86,3,0.11,0.34,3.04,3.59,0.23,0.09,18.98,6.13
22.6,3.62,10,10,21,21,21,0.5,0.5,0.12,0.01,0.59,0.02,0.32,1.07,0.03,0.09,0.98,1.16,0.15,0.05,8.68,5.61
31.8,5.09,11,11,22,22,22,0.6,0.63,0.19,0.03,1.3,0.08,0.82,2.41,0.04,0.2,2.66,3.03,0.39,0.05,21.45,14.32
21.8,3.49,10,10,20,20,20,0.5,0.52,0.31,0.04,1.66,0.08,0.84,2.94,0.1,0.28,2.75,3.23,0.21,0.07,16.54,5.17
